SQUADRA,BAUDI
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Giusy_Ferreri', 'Rkomi')",99
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Giusy_Ferreri', 'Tananai')",99
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Giusy_Ferreri', 'Yuman')",97
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'Iva_Zanicchi')",94
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'La_Rappresentante_di_Lista')",99
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'Massimo_Ranieri')",100
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'Matteo_Romano')",94
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'Rkomi')",96
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'Tananai')",96
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Highsnob_e_Hu', 'Yuman')",94
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Iva_Zanicchi', 'La_Rappresentante_di_Lista')",98
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Iva_Zanicchi', 'Le_Vibrazioni')",100
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Iva_Zanicchi', 'Massimo_Ranieri')",99
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Iva_Zanicchi', 'Matteo_Romano')",93
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Iva_Zanicchi', 'Rkomi')",95
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Iva_Zanicchi', 'Tananai')",95
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Iva_Zanicchi', 'Yuman')",93
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'La_Rappresentante_di_Lista', 'Matteo_Romano')",98
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'La_Rappresentante_di_Lista', 'Rkomi')",100
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'La_Rappresentante_di_Lista', 'Tananai')",100
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'La_Rappresentante_di_Lista', 'Yuman')",98
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Le_Vibrazioni', 'Matteo_Romano')",100
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Le_Vibrazioni', 'Yuman')",100
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Massimo_Ranieri', 'Matteo_Romano')",99
